
# Surface 0 of 1 surfaces

# Curve title: "'./Scan/propanol/0-1-6-10-11/RIMP2/scanw.txt' u 1:2:($3-w)"
# Contour 0, label:      7.5
 116.495 -147.536  5 
 114.75 -145.855  5 
 114.634 -145.714  5 
 113.174 -143.893  5 
 112.929 -143.576  5 
 111.958 -142.071  5 
 111.107 -140.687  5 
 110.875 -140.25  5 
 109.958 -138.429  5 
 109.286 -136.99  5 
 109.126 -136.607  5 
 108.434 -134.786  5 
 107.821 -132.964  5 
 107.464 -131.746  5 
 107.304 -131.143  5 
 106.888 -129.321  5 
 106.537 -127.5  5 
 106.252 -125.679  5 
 106.037 -123.857  5 
 105.895 -122.036  5 
 105.837 -120.214  5 
 105.876 -118.393  5 
 106.002 -116.571  5 
 106.202 -114.75  5 
 106.471 -112.929  5 
 106.805 -111.107  5 
 107.202 -109.286  5 
 107.464 -108.245  5 
 107.68 -107.464  5 
 108.253 -105.643  5 
 108.895 -103.821  5 
 109.286 -102.808  5 
 109.632 -102  5 
 110.466 -100.179  5 
 111.107 -98.8486  5 
 111.377 -98.3571  5 
 112.412 -96.5357  5 
 112.929 -95.6503  5 
 113.568 -94.7143  5 
 114.75 -93.0117  5 
 114.851 -92.8929  5 
 116.403 -91.0714  5 
 116.571 -90.874  5 
 118.379 -89.25  5 
 118.393 -89.2378  5 
 120.214 -88.1343  5 
 122.036 -87.573  5 
 123.857 -87.528  5 
 125.679 -87.9825  5 
 127.5 -88.9174  5 
 127.933 -89.25  5 
 129.321 -90.3007  5 
 130.093 -91.0714  5 
 131.143 -92.1178  5 
 131.771 -92.8929  5 
 132.964 -94.3761  5 
 133.194 -94.7143  5 
 134.415 -96.5357  5 
 134.786 -97.0991  5 
 135.507 -98.3571  5 
 136.52 -100.179  5 
 136.607 -100.342  5 
 137.392 -102  5 
 138.194 -103.821  5 
 138.429 -104.409  5 
 138.88 -105.643  5 
 139.475 -107.464  5 
 139.999 -109.286  5 
 140.25 -110.303  5 
 140.435 -111.107  5 
 140.782 -112.929  5 

 114.75  41.2456  5 
 116.571  41.5441  5 
 118.393  41.4202  5 
 120.214  40.8773  5 
 121.757  40.0714  5 
 122.036  39.9323  5 
 123.857  38.6482  5 
 124.299  38.25  5 
 125.679  37.0495  5 
 126.27  36.4286  5 
 127.5  35.1666  5 
 127.97  34.6071  5 
 129.321  33.0214  5 
 129.5  32.7857  5 
 130.886  30.9643  5 
 131.143  30.6263  5 
 132.166  29.1429  5 
 132.964  27.9747  5 
 133.376  27.3214  5 
 134.507  25.5  5 
 134.786  25.0424  5 
 135.562  23.6786  5 
 136.569  21.8571  5 
 136.607  21.7861  5 
 137.49  20.0357  5 
 138.366  18.2143  5 
 138.429  18.0769  5 
 139.158  16.3929  5 
 139.891  14.5714  5 
 140.25  13.6043  5 
 140.556  12.75  5 
 141.15  10.9286  5 
 141.683  9.10714  5 
 142.071  7.59458  5 
 142.149  7.28571  5 
 142.539  5.46429  5 
 142.86  3.64286  5 
 143.109  1.82143  5 
 143.285  7.44738e-13  5 
 143.386 -1.82143  5 
 143.414 -3.64286  5 
 143.369 -5.46429  5 
 143.252 -7.28571  5 
 143.065 -9.10714  5 
 142.809 -10.9286  5 
 142.486 -12.75  5 
 142.097 -14.5714  5 

 142.097 -14.5714  5 
 142.071 -14.6759  5 
 141.628 -16.3929  5 
 141.093 -18.2143  5 
 140.497 -20.0357  5 
 140.25 -20.7302  5 
 139.824 -21.8571  5 
 139.088 -23.6786  5 
 138.429 -25.2195  5 
 138.299 -25.5  5 
 137.42 -27.3214  5 
 136.607 -28.9393  5 
 136.494 -29.1429  5 
 135.442 -30.9643  5 
 134.786 -32.0597  5 
 134.29 -32.7857  5 
 133.031 -34.6071  5 
 132.964 -34.7046  5 
 131.579 -36.4286  5 
 131.143 -36.9771  5 
 129.916 -38.25  5 
 129.321 -38.8797  5 
 127.879 -40.0714  5 
 127.5 -40.3938  5 
 125.679 -41.5028  5 
 124.604 -41.8929  5 
 123.857 -42.1763  5 
 122.036 -42.4011  5 
 120.214 -42.1541  5 
 119.553 -41.8929  5 
 118.393 -41.4634  5 
 116.571 -40.3658  5 
 116.215 -40.0714  5 
 114.75 -38.9252  5 
 114.065 -38.25  5 
 112.929 -37.1754  5 
 112.269 -36.4286  5 
 111.107 -35.1516  5 
 110.678 -34.6071  5 
 109.286 -32.8746  5 
 109.222 -32.7857  5 
 107.907 -30.9643  5 
 107.464 -30.3508  5 
 106.676 -29.1429  5 
 105.643 -27.5422  5 
 105.512 -27.3214  5 
 104.448 -25.5  5 
 103.821 -24.4094  5 
 103.43 -23.6786  5 
 102.478 -21.8571  5 
 102 -20.9129  5 
 101.582 -20.0357  5 
 100.753 -18.2143  5 
 100.179 -16.8711  5 
 99.9834 -16.3929  5 
 99.2926 -14.5714  5 
 98.6592 -12.75  5 
 98.3571 -11.7934  5 
 98.0935 -10.9286  5 
 97.5971 -9.10714  5 
 97.1621 -7.28571  5 
 96.7913 -5.46429  5 
 96.5357 -3.92947  5 
 96.4893 -3.64286  5 
 96.2629 -1.82143  5 
 96.1076  7.44738e-13  5 
 96.0245  1.82143  5 
 96.0123  3.64286  5 
 96.0689  5.46429  5 
 96.1919  7.28571  5 
 96.3793  9.10714  5 
 96.5357  10.2438  5 
 96.6335  10.9286  5 
 96.9588  12.75  5 
 97.3495  14.5714  5 
 97.8046  16.3929  5 
 98.3213  18.2143  5 
 98.3571  18.3286  5 
 98.9243  20.0357  5 
 99.5838  21.8571  5 
 100.179  23.3921  5 
 100.299  23.6786  5 
 101.102  25.5  5 
 101.944  27.3214  5 
 102  27.4391  5 
 102.902  29.1429  5 
 103.821  30.8021  5 
 103.924  30.9643  5 
 105.12  32.7857  5 
 105.643  33.5687  5 
 106.456  34.6071  5 
 107.464  35.8953  5 
 107.969  36.4286  5 
 109.286  37.8324  5 
 109.784  38.25  5 
 111.107  39.3796  5 
 112.225  40.0714  5 
 112.929  40.5189  5 
 114.75  41.2456  5 

-18.6787  94.7143  5 
-19.3828  96.5357  5 
-20.0357  98.2344  5 
-20.0796  98.3571  5 
-20.7185  100.179  5 
-21.3354  102  5 
-21.8571  103.621  5 
-21.9179  103.821  5 
-22.4362  105.643  5 
-22.9142  107.464  5 
-23.3493  109.286  5 
-23.6786  110.825  5 
-23.7363  111.107  5 
-24.063  112.929  5 
-24.3412  114.75  5 
-24.5674  116.571  5 
-24.738  118.393  5 
-24.8497  120.214  5 
-24.901  122.036  5 
-24.8928  123.857  5 
-24.8274  125.679  5 
-24.7076  127.5  5 
-24.5354  129.321  5 
-24.3127  131.143  5 
-24.0407  132.964  5 
-23.7208  134.786  5 
-23.6786  134.996  5 
-23.3425  136.607  5 
-22.9192  138.429  5 
-22.458  140.25  5 
-21.9649  142.071  5 
-21.8571  142.449  5 
-21.4251  143.893  5 
-20.8594  145.714  5 
-20.2787  147.536  5 
-20.0357  148.283  5 
-19.6657  149.357  5 
-19.0306  151.179  5 
-18.3929  153  5 
-18.2143  153.514  5 
-17.7259  154.821  5 
-17.0605  156.643  5 
